id,topic,intervention,outcome,effect_min,effect_max,effect_unit,categories,confidence,keywords
guest-checkout-conversion,Guest checkout,Add guest checkout without forced account creation,Checkout completion rate,6,14,percent_relative,"ux,checkout,business",ab_test,guest checkout account friction
trust-badges-checkout,Trust badges at checkout,Show security and payment trust badges near pay button,Checkout completion rate,3,9,percent_relative,"ux,checkout,business",ab_test,trust badge checkout security
mobile-form-field-count,Mobile form field count,Reduce visible fields on mobile signup to five or fewer,Signup completion rate,8,18,percent_relative,"ux,signup,business",meta_analysis,mobile signup form fields
annual-plan-discount-callout,Annual plan savings callout,Highlight annual savings percentage on pricing page,Share choosing annual billing,10,25,percent_relative,"business,saas",ab_test,annual billing pricing page
onboarding-checklist-activation,Onboarding checklist,Show a 3–5 step onboarding checklist in first session,Week-1 activation rate,12,28,percent_relative,"ux,business,saas",ab_test,onboarding checklist activation
push-notification-opt-in-timing,Push opt-in timing,Delay push permission prompt until after first value moment,Push opt-in rate,15,40,percent_relative,"ux,business",ab_test,push notification permission prompt
interval-training-5k-time,Interval training for 5K,Add twice-weekly interval sessions to base training,5K race time improvement,2,5,percent_relative,"sports,running",study,interval training 5k running
protein-post-workout-recovery,Post-workout protein timing,Consume 20–30g protein within 2 hours after strength training,Muscle soreness and recovery scores,10,22,percent_relative,"health,sports",study,protein recovery strength training
mindfulness-break-work-stress,Micro mindfulness breaks,Offer guided 5-minute mindfulness breaks during workday,Self-reported stress scores,8,18,percent_relative,"health,hr",study,mindfulness workplace stress
meal-kit-portion-adherence,Meal kit portion control,Switch to pre-portioned meal kits for weekday dinners,Weekly calorie intake,5,12,percent_relative,"food,health",study,meal kit portion calories
tutorial-skip-option-games,Skippable game tutorial,Allow skipping the opening tutorial with clear later access,Day-1 retention,4,11,percent_relative,"gaming,ux",ab_test,game tutorial skip retention
async-video-interview-completion,Async video interviews,Replace live phone screen with async one-way video interview,Candidate screen completion rate,12,30,percent_relative,"hr,business",estimate,async interview hiring funnel
progress-bar-checkout,Checkout progress indicator,Show a 3-step progress bar during checkout,Checkout completion rate,4,10,percent_relative,"ux,checkout",ab_test,checkout progress bar
social-proof-product-page,Social proof on product pages,Display recent purchase notifications on PDP,Add-to-cart rate,3,8,percent_relative,"ux,business",ab_test,social proof ecommerce
default-annual-billing,Default annual billing toggle,Pre-select annual plan on pricing page,Annual plan uptake,8,20,percent_relative,"business,saas",ab_test,annual billing default
error-message-specificity,Specific form error messages,Replace generic errors with field-specific guidance,Form completion rate,5,12,percent_relative,"ux,signup",ab_test,form validation errors
strength-training-frequency,Strength training frequency,Train major muscle groups twice per week vs once,Strength gains over 8 weeks,10,25,percent_relative,"health,sports",study,strength training frequency
sleep-consistency-hrv,Sleep schedule consistency,Keep bedtime within 30 minutes nightly for 4 weeks,Heart rate variability,6,15,percent_relative,health,study,sleep consistency hrv
signup-one-fewer-step,Signup friction,Remove one signup step,Signup completion rate,12,18,percent_relative,"ux,saas,signup",meta_analysis,signup form conversion
social-login-signup,Social OAuth,Add Google/Apple one-click signup,Signup conversion rate,8,8,percent_point,"ux,saas,signup",ab_test,oauth social login
checkout-field-reduction,Checkout UX,Reduce checkout fields to 12-14,Checkout conversion rate,20,60,percent_relative,"ux,checkout,business",meta_analysis,cart checkout form fields
baseball-short-swing,MLB contact,Shorter Statcast swing path,Batting average vs slugging,2.3,11,percent_point,"sports,baseball",study,bat swing length MLB
page-speed-bounce,Web performance,+1 second page load time,Bounce rate,7,11,percent_relative,"ux,business",estimate,page speed core web vitals
sleep-productivity,Sleep extension,+1 hour sleep,Next-day task scores,10,25,percent_relative,"health,business",study,sleep productivity
inline-validation-form-completion,Inline form validation,Replacing post-submit error validation with real-time inline validation as users fill out fields,Form completion rate,15,22,percent_relative,"ux,forms",ab_test,"inline validation, forms, form completion, validation errors, input fields"
post-purchase-one-click-upsell,Post-purchase one-click upsell,Offering a relevant add-on product on the post-checkout page that can be purchased with a single click without re-entering payment info,Average order value (AOV),8,18,percent_relative,"business,ecommerce",ab_test,"upsell, average order value, checkout flow, e-commerce, monetization, post-purchase"
guild-auto-join-retention,Automatic guild assignment,Prompting or auto-assigning new players to active beginner guilds during onboarding,Day-7 player retention rate,15,28,percent_relative,"gaming,retention",ab_test,"guilds, clans, onboarding, social play, player retention, mobile gaming, mmorpg"
baking-soda-onion-caramelization,Baking soda onion caramelization,Adding a pinch of baking soda (alkaline environment) to cooking onions,Reduction in total caramelization time,50,70,percent_relative,"food,cooking-science",study,"onions, caramelization, baking soda, maillard reaction, cooking speed, chemistry"
stay-interviews-employee-retention,Stay interviews,Implementing structured annual stay interviews for tenured employees,One-year employee retention rate,8,15,percent_relative,"hr,talent-management",study,"stay interviews, employee retention, turnover, human resources, talent management"
flexible-date-flight-search,Flexible date calendar for flight search,Defaulting to a +/- 3-day flexible date calendar grid on flight search results,Flight booking conversion rate,6,14,percent_relative,"travel,ux",ab_test,"flexible dates, flight search, booking conversion, travel ux, fare calendar"
search-autocomplete-conversion,Search autocomplete,Adding rich autocomplete suggestions with product previews to the search bar,Search-to-purchase conversion rate,15,24,percent_relative,"ux,ecommerce",ab_test,"search bar, autocomplete, e-commerce, navigation, search suggestions, conversion rate"
subscription-pause-retention,Subscription pause option,Offering a temporary subscription pause option during the cancellation flow,Permanent churn reduction,15,30,percent_relative,"business,subscription",ab_test,"churn, retention, subscription, cancellation, pause account"
post-match-party-up,Post-match 'Party Up' button,Adding a one-click 'Party Up' button on the post-match scoreboard for solo players,Day-7 player retention,8,15,percent_relative,"gaming,social",ab_test,"multiplayer, retention, squad up, matchmaking, social features, player engagement"
dry-brining-poultry-moisture,Dry brining poultry,Dry-brining poultry (salting 12 to 24 hours before cooking) instead of salting immediately before cooking,Moisture retention (measured by weight yield after roasting),10,15,percent_relative,"food,cooking",study,"dry brining, poultry, roasting, moisture retention, food science, meat yield"
onboarding-buddy-retention,Onboarding buddy programs,Assigning a dedicated peer buddy to new hires during their first 90 days,90-day new hire retention rate,15,36,percent_relative,"hr,onboarding",study,"onboarding, peer buddy, employee retention, new hire integration, talent management"
hotel-map-search-conversion,Hotel map search default,Defaulting users to an interactive map search view rather than a standard list view for hotel search results,Hotel booking conversion rate,6,14,percent_relative,"travel,e-commerce",ab_test,"hotel search, map view, user experience, booking conversion, user interface layout"
live-chat-pricing-page,Live chat on pricing page,Adding a proactive live chat widget to the B2B SaaS pricing page,Inbound demo booking rate,8,15,percent_relative,"business,conversion",ab_test,"saas, live chat, pricing page, conversion rate, sales, lead generation"
blooming-spices-in-oil,Blooming spices in oil,Heating ground spices in oil or cooking fat before adding liquid ingredients,Sensory flavor intensity scores of the finished dish,15,30,percent_relative,"food,cooking",study,"spices, blooming, fat-soluble flavor, extraction, cooking techniques"
daily-first-win-bonus,Daily first win bonus,"Introducing a ""first win of the day"" experience point multiplier reward",Next-day user retention (D1 retention),3,8,percent_relative,"gaming,retention",ab_test,"retention, monetization, reward schedule, progression, player engagement"
